flowers,fruits,year,mounth
0,1,83,1
0,1,83,1
0,0,83,1
0,0,83,1
0,0,83,1
0,1,83,2
0,1,83,2
0,0,83,2
0,0,83,2
0,0,83,2
0,1,83,3
0,0,83,3
0,0,83,3
0,0,83,3
0,0,83,3
0,0,83,4
1,0,83,4
1,0,83,4
1,0,83,4
1,0,83,4
1,0,83,5
1,0,83,5
1,0,83,5
1,0,83,5
1,0,83,5
1,0,83,6
1,0,83,6
1,0,83,6
1,0,83,6
1,0,83,6
0,0,83,7
0,0,83,7
0,0,83,7
0,0,83,7
1,0,83,7
0,1,83,8
0,1,83,8
0,1,83,8
0,1,83,8
0,1,83,8
0,0,83,9
0,1,83,9
0,1,83,9
0,1,83,9
0,1,83,9
0,1,83,10
0,1,83,10
0,1,83,10
0,1,83,10
0,0,83,10
0,1,83,11
0,1,83,11
0,1,83,11
0,1,83,11
0,1,83,11
0,1,83,12
0,1,83,12
0,1,83,12
0,1,83,12
0,0,83,12
0,1,84,1
0,1,84,1
0,1,84,1
0,0,84,1
0,0,84,1
0,1,84,2
0,1,84,2
0,0,84,2
0,0,84,2
0,0,84,2
0,1,84,3
0,0,84,3
0,0,84,3
0,0,84,3
0,0,84,3
0,0,84,4
0,0,84,4
0,0,84,4
0,0,84,4
0,0,84,4
1,0,84,5
1,0,84,5
1,0,84,5
1,0,84,5
1,0,84,5
1,0,84,6
1,0,84,6
1,0,84,6
1,0,84,6
1,0,84,6
1,0,84,7
1,0,84,7
1,0,84,7
1,1,84,7
1,1,84,7
0,1,84,8
0,1,84,8
0,1,84,8
1,1,84,8
1,1,84,8
0,1,84,9
0,1,84,9
0,1,84,9
0,0,84,9
0,1,84,9
0,1,84,10
0,1,84,10
0,1,84,10
0,1,84,10
0,1,84,10
0,1,84,11
0,1,84,11
0,1,84,11
0,1,84,11
0,1,84,11
0,1,84,12
0,1,84,12
0,1,84,12
0,0,84,12
0,0,84,12
0,1,85,1
0,1,85,1
0,1,85,1
0,0,85,1
0,0,85,1
0,1,85,2
0,1,85,2
0,0,85,2
0,0,85,2
0,0,85,2
0,1,85,3
0,1,85,3
0,0,85,3
0,0,85,3
0,0,85,3
0,0,85,4
0,0,85,4
0,0,85,4
0,0,85,4
0,0,85,4
0,0,85,5
0,0,85,5
0,0,85,5
0,0,85,5
0,0,85,5
0,0,85,6
1,0,85,6
1,0,85,6
1,0,85,6
1,0,85,6
1,0,85,7
1,0,85,7
1,0,85,7
1,0,85,7
1,1,85,7
0,1,85,8
0,1,85,8
1,1,85,8
1,1,85,8
1,1,85,8
1,1,85,9
1,1,85,9
0,1,85,9
0,1,85,9
0,1,85,9
0,1,85,10
0,1,85,10
0,1,85,10
0,1,85,10
0,1,85,10
0,1,85,11
0,1,85,11
0,1,85,11
0,1,85,11
0,1,85,11
0,1,85,12
0,1,85,12
0,1,85,12
0,0,85,12
0,0,85,12
0,1,86,1
0,1,86,1
0,1,86,1
0,1,86,1
0,0,86,1
0,1,86,2
0,1,86,2
0,1,86,2
0,1,86,2
0,0,86,2
0,1,86,3
0,1,86,3
0,1,86,3
0,0,86,3
0,0,86,3
1,0,86,4
1,0,86,4
1,0,86,4
1,0,86,4
1,0,86,4
1,0,86,5
1,0,86,5
1,0,86,5
1,0,86,5
0,0,86,5
1,0,86,6
1,0,86,6
1,0,86,6
1,0,86,6
0,0,86,6
1,0,86,7
1,0,86,7
1,1,86,7
1,1,86,7
0,1,86,7
0,0,86,8
0,1,86,8
0,1,86,8
0,1,86,8
0,1,86,8
0,1,86,9
0,1,86,9
0,1,86,9
0,1,86,9
0,1,86,9
0,1,86,10
0,1,86,10
0,1,86,10
0,1,86,10
0,1,86,10
0,1,86,11
0,1,86,11
0,1,86,11
0,1,86,11
0,1,86,11
0,1,86,12
0,1,86,12
0,1,86,12
0,1,86,12
0,1,86,12
0,1,87,1
0,1,87,1
0,1,87,1
0,1,87,1
0,1,87,1
0,1,87,2
0,1,87,2
0,1,87,2
0,0,87,2
0,1,87,2
0,0,87,3
0,0,87,3
0,0,87,3
0,0,87,3
0,0,87,3
1,0,87,4
1,0,87,4
0,0,87,4
0,0,87,4
0,0,87,4
1,0,87,5
1,0,87,5
0,0,87,5
0,0,87,5
0,0,87,5
1,1,87,6
1,1,87,6
1,0,87,6
0,0,87,6
0,0,87,6
1,1,87,7
0,1,87,7
0,1,87,7
0,0,87,7
0,0,87,7
0,1,87,8
0,1,87,8
0,1,87,8
0,1,87,8
0,1,87,8
0,1,87,9
0,1,87,9
0,1,87,9
0,1,87,9
0,1,87,9
0,1,87,10
0,1,87,10
0,1,87,10
0,1,87,10
0,1,87,10
0,1,87,11
0,1,87,11
0,1,87,11
0,1,87,11
0,1,87,11
0,1,87,12
0,1,87,12
0,1,87,12
0,0,87,12
0,1,87,12
0,1,88,1
0,1,88,1
0,1,88,1
0,0,88,1
0,0,88,1
0,0,88,2
0,1,88,2
0,1,88,2
0,0,88,2
0,0,88,2
0,1,88,3
0,0,88,3
0,0,88,3
